2024-06-19 09:42:32 status half-configured libksba8:amd64 1.6.6-1
2024-06-19 09:42:32 status installed libksba8:amd64 1.6.6-1
2024-06-19 09:42:32 configure javascript-common:all 11+nmu1 <none>
2024-06-19 09:42:32 status unpacked javascript-common:all 11+nmu1
2024-06-19 09:42:32 status half-configured javascript-common:all 11+nmu1
2024-06-19 09:42:33 status installed javascript-common:all 11+nmu1
2024-06-19 09:42:33 configure libnpth0t64:amd64 1.6-3.1 <none>
2024-06-19 09:42:33 status unpacked libnpth0t64:amd64 1.6-3.1
2024-06-19 09:42:33 status half-configured libnpth0t64:amd64 1.6-3.1
2024-06-19 09:42:33 status installed libnpth0t64:amd64 1.6-3.1
2024-06-19 09:42:33 configure libfile-fcntllock-perl:amd64 0.22-4+b3 <none>
2024-06-19 09:42:33 status unpacked libfile-fcntllock-perl:amd64 0.22-4+b3
2024-06-19 09:42:33 status half-configured libfile-fcntllock-perl:amd64 0.22-4+b3
2024-06-19 09:42:33 status installed libfile-fcntllock-perl:amd64 0.22-4+b3
2024-06-19 09:42:33 configure libalgorithm-diff-perl:all 1.201-1 <none>
2024-06-19 09:42:33 status unpacked libalgorithm-diff-perl:all 1.201-1
2024-06-19 09:42:33 status half-configured libalgorithm-diff-perl:all 1.201-1
2024-06-19 09:42:33 status installed libalgorithm-diff-perl:all 1.201-1
2024-06-19 09:42:33 configure manpages:all 6.05.01-1 <none>
2024-06-19 09:42:33 status unpacked manpages:all 6.05.01-1
2024-06-19 09:42:33 status half-configured manpages:all 6.05.01-1
2024-06-19 09:42:33 status installed manpages:all 6.05.01-1
2024-06-19 09:42:33 configure libpython3.11t64:amd64 3.11.9-1 <none>
2024-06-19 09:42:33 status unpacked libpython3.11t64:amd64 3.11.9-1
2024-06-19 09:42:33 status half-configured libpython3.11t64:amd64 3.11.9-1
2024-06-19 09:42:33 status installed libpython3.11t64:amd64 3.11.9-1
2024-06-19 09:42:33 configure binutils-common:amd64 2.42-4 <none>
2024-06-19 09:42:33 status unpacked binutils-common:amd64 2.42-4
2024-06-19 09:42:33 status half-configured binutils-common:amd64 2.42-4
2024-06-19 09:42:33 status installed binutils-common:amd64 2.42-4
2024-06-19 09:42:33 configure linux-libc-dev:all 6.6.15-2kali1 <none>
2024-06-19 09:42:33 status unpacked linux-libc-dev:all 6.6.15-2kali1
2024-06-19 09:42:33 status half-configured linux-libc-dev:all 6.6.15-2kali1
2024-06-19 09:42:33 status installed linux-libc-dev:all 6.6.15-2kali1
2024-06-19 09:42:33 configure libctf-nobfd0:amd64 2.42-4 <none>
2024-06-19 09:42:33 status unpacked libctf-nobfd0:amd64 2.42-4
2024-06-19 09:42:33 status half-configured libctf-nobfd0:amd64 2.42-4
2024-06-19 09:42:33 status installed libctf-nobfd0:amd64 2.42-4
2024-06-19 09:42:33 configure libassuan0:amd64 2.5.6-1+b1 <none>
2024-06-19 09:42:33 status unpacked libassuan0:amd64 2.5.6-1+b1
2024-06-19 09:42:33 status half-configured libassuan0:amd64 2.5.6-1+b1
2024-06-19 09:42:33 status installed libassuan0:amd64 2.5.6-1+b1
2024-06-19 09:42:33 configure libgomp1:amd64 14-20240330-1 <none>
2024-06-19 09:42:33 status unpacked libgomp1:amd64 14-20240330-1
2024-06-19 09:42:33 status half-configured libgomp1:amd64 14-20240330-1
2024-06-19 09:42:33 status installed libgomp1:amd64 14-20240330-1
2024-06-19 09:42:33 configure bzip2:amd64 1.0.8-5.1 <none>
2024-06-19 09:42:33 status unpacked bzip2:amd64 1.0.8-5.1
2024-06-19 09:42:33 status half-configured bzip2:amd64 1.0.8-5.1
2024-06-19 09:42:33 status installed bzip2:amd64 1.0.8-5.1
2024-06-19 09:42:33 configure python3-wheel:all 0.43.0-1 <none>
2024-06-19 09:42:33 status unpacked python3-wheel:all 0.43.0-1
2024-06-19 09:42:33 status half-configured python3-wheel:all 0.43.0-1
2024-06-19 09:42:33 status installed python3-wheel:all 0.43.0-1
2024-06-19 09:42:33 configure libsframe1:amd64 2.42-4 <none>
2024-06-19 09:42:33 status unpacked libsframe1:amd64 2.42-4
2024-06-19 09:42:33 status half-configured libsframe1:amd64 2.42-4
2024-06-19 09:42:33 status installed libsframe1:amd64 2.42-4
2024-06-19 09:42:33 configure libfakeroot:amd64 1.33-1 <none>
2024-06-19 09:42:33 status unpacked libfakeroot:amd64 1.33-1
2024-06-19 09:42:33 status half-configured libfakeroot:amd64 1.33-1
2024-06-19 09:42:33 status installed libfakeroot:amd64 1.33-1
2024-06-19 09:42:33 configure fakeroot:amd64 1.33-1 <none>
2024-06-19 09:42:33 status unpacked fakeroot:amd64 1.33-1
2024-06-19 09:42:33 status half-configured fakeroot:amd64 1.33-1
2024-06-19 09:42:33 status installed fakeroot:amd64 1.33-1
2024-06-19 09:42:33 configure rpcsvc-proto:amd64 1.4.3-1 <none>
2024-06-19 09:42:33 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-06-19 09:42:33 status half-configured rpcsvc-proto:amd64 1.4.3-1
2024-06-19 09:42:33 status installed rpcsvc-proto:amd64 1.4.3-1
2024-06-19 09:42:33 configure gcc-13-base:amd64 13.2.0-24 <none>
2024-06-19 09:42:33 status unpacked gcc-13-base:amd64 13.2.0-24
2024-06-19 09:42:33 status half-configured gcc-13-base:amd64 13.2.0-24
2024-06-19 09:42:33 status installed gcc-13-base:amd64 13.2.0-24
2024-06-19 09:42:33 configure make:amd64 4.3-4.1 <none>
2024-06-19 09:42:33 status unpacked make:amd64 4.3-4.1
2024-06-19 09:42:33 status half-configured make:amd64 4.3-4.1
2024-06-19 09:42:33 status installed make:amd64 4.3-4.1
2024-06-19 09:42:33 configure libmpfr6:amd64 4.2.1-1+b1 <none>
2024-06-19 09:42:33 status unpacked libmpfr6:amd64 4.2.1-1+b1
2024-06-19 09:42:33 status half-configured libmpfr6:amd64 4.2.1-1+b1
2024-06-19 09:42:33 status installed libmpfr6:amd64 4.2.1-1+b1
2024-06-19 09:42:33 configure gnupg-l10n:all 2.2.40-3 <none>
2024-06-19 09:42:33 status unpacked gnupg-l10n:all 2.2.40-3
2024-06-19 09:42:33 status half-configured gnupg-l10n:all 2.2.40-3
2024-06-19 09:42:33 status installed gnupg-l10n:all 2.2.40-3
2024-06-19 09:42:33 configure xz-utils:amd64 5.6.1+really5.4.5-1 <none>
2024-06-19 09:42:33 status unpacked xz-utils:amd64 5.6.1+really5.4.5-1
2024-06-19 09:42:33 status half-configured xz-utils:amd64 5.6.1+really5.4.5-1
2024-06-19 09:42:33 status installed xz-utils:amd64 5.6.1+really5.4.5-1
2024-06-19 09:42:33 configure libquadmath0:amd64 14-20240330-1 <none>
2024-06-19 09:42:33 status unpacked libquadmath0:amd64 14-20240330-1
2024-06-19 09:42:33 status half-configured libquadmath0:amd64 14-20240330-1
2024-06-19 09:42:33 status installed libquadmath0:amd64 14-20240330-1
2024-06-19 09:42:33 configure libmpc3:amd64 1.3.1-1+b2 <none>
2024-06-19 09:42:33 status unpacked libmpc3:amd64 1.3.1-1+b2
2024-06-19 09:42:33 status half-configured libmpc3:amd64 1.3.1-1+b2
2024-06-19 09:42:33 status installed libmpc3:amd64 1.3.1-1+b2
2024-06-19 09:42:33 configure libatomic1:amd64 14-20240330-1 <none>
2024-06-19 09:42:33 status unpacked libatomic1:amd64 14-20240330-1
2024-06-19 09:42:33 status half-configured libatomic1:amd64 14-20240330-1
2024-06-19 09:42:33 status installed libatomic1:amd64 14-20240330-1
2024-06-19 09:42:33 configure python3-pip:all 24.0+dfsg-2 <none>
2024-06-19 09:42:33 status unpacked python3-pip:all 24.0+dfsg-2
2024-06-19 09:42:33 status half-configured python3-pip:all 24.0+dfsg-2
2024-06-19 09:42:34 status installed python3-pip:all 24.0+dfsg-2
2024-06-19 09:42:34 configure libdpkg-perl:all 1.22.6+kali1 <none>
2024-06-19 09:42:34 status unpacked libdpkg-perl:all 1.22.6+kali1
